# r^2 r orientational_FE_correlation[r^2] orientational_AFE_correlation[r^2] orientational_count[r^2] T
26 5.099020 0.942393 -0.003414 576000 64
27 5.196152 0.941947 -0.004309 256000 64
29 5.385165 0.941402 -0.002379 576000 64
30 5.477226 0.941359 -0.004525 384000 64
32 5.656854 0.940708 -0.002356 96000 64
33 5.744563 0.940416 -0.002661 384000 64
34 5.830952 0.939756 -0.002068 384000 64
35 5.916080 0.939966 -0.003448 384000 64
36 6.000000 0.939105 -0.002492 240000 64
37 6.082763 0.939873 -0.007992 192000 64
38 6.164414 0.939422 -0.004136 576000 64
40 6.324555 0.939048 -0.006625 192000 64
41 6.403124 0.939243 -0.003972 768000 64
42 6.480741 0.937990 -0.002646 384000 64
43 6.557439 0.937196 -0.001333 192000 64
44 6.633250 0.938165 -0.005264 192000 64
45 6.708204 0.937424 -0.002965 576000 64
46 6.782330 0.937705 -0.005020 384000 64
48 6.928203 0.935632 0.000276 64000 64
49 7.000000 0.937003 -0.004811 432000 64
50 7.071068 0.936870 -0.003583 672000 64
51 7.141428 0.936950 -0.005964 384000 64
52 7.211103 0.935963 -0.004312 192000 64
53 7.280110 0.936595 -0.005495 576000 64
54 7.348469 0.936840 -0.005205 768000 64
56 7.483315 0.934758 -0.003081 384000 64
57 7.549834 0.934883 -0.003695 384000 64
58 7.615773 0.935998 -0.007031 192000 64
59 7.681146 0.935278 -0.004775 576000 64
61 7.810250 0.933936 -0.002509 576000 64
62 7.874008 0.935002 -0.004530 768000 64
64 8.000000 0.936803 -0.011478 48000 64
65 8.062258 0.934940 -0.005554 768000 64
66 8.124038 0.934720 -0.005409 768000 64
67 8.185353 0.933276 -0.004320 192000 64
68 8.246211 0.933899 -0.005390 384000 64
69 8.306624 0.934956 -0.006910 768000 64
70 8.366600 0.931679 -0.001591 384000 64
72 8.485281 0.933727 -0.006920 288000 64
73 8.544004 0.933266 -0.005931 384000 64
74 8.602325 0.933855 -0.005378 960000 64
75 8.660254 0.931873 -0.003770 448000 64
76 8.717798 0.930998 -0.002633 192000 64
77 8.774964 0.932321 -0.003774 768000 64
78 8.831761 0.931297 -0.003525 384000 64
80 8.944272 0.932718 -0.006660 192000 64

