LOCAL ORDER: 
# r^2 r orientational_correlation[r^2] orientational_count[r^2] T
67 8.185353 0.187070 288000 64
68 8.246211 0.180966 576000 64
69 8.306624 0.178073 1152000 64
70 8.366600 0.182421 576000 64
72 8.485281 0.172055 432000 64
73 8.544004 0.172563 576000 64
74 8.602325 0.169092 1440000 64
75 8.660254 0.171285 672000 64
76 8.717798 0.170514 288000 64
77 8.774964 0.162262 1152000 64
78 8.831761 0.164696 576000 64
80 8.944272 0.156212 288000 64

Moves: 8000 CageStrain: 1.000000 T: 64 Landau: 0.123223
CageStrain: 1.000000 T: 576 DMAX: 11.816239 new_DMAX: 9.343416 variance: 10.601117 mean: -0.145417
CageStrain: 1.000000 T: 576 DMAX: 9.343416 new_DMAX: 9.343416 variance: 10.601117 mean: -0.145417
